Benefit Group,Dental Code,Description,Frequency/Limitations,In-Network Coverage,Out-of-Network Coverage
Oral Exam,D0120,Periodic oral evaluation,2 of (D0120-D0180) every calendar year,-,-
Oral Exam,D0140,Limited oral evaluation,2 of (D0120-D0180) every calendar year,-,-
Oral Exam,D0150,Comprehensive oral evaluation,2 of (D0120-D0180) every calendar year,-,-
Oral Exam,D0160,"Oral evaluation, problem focused",2 of (D0120-D0180) every calendar year,-,-
Oral Exam,D0170,established patient; not post-operative visit,2 of (D0120-D0180) every calendar year,-,-
Oral Exam,D0171,"Re-evaluation, post operative office visit",2 of (D0120-D0180) every calendar year,-,-
Oral Exam,D0180,Comprehensive periodontal evaluation,2 of (D0120-D0180) every calendar year,-,-
Dental X-Rays,D0210,"Intraoral, comprehensive series of radiographic images","1 of (D0210, D0330, D0709) every 3 calendar years",-,-
Dental X-Rays,D0220,"Intraoral, periapical, first radiographic image",-,-,-
Dental X-Rays,D0230,"Intraoral, periapical, each add 'l radiographic image",-,-,-
Dental X-Rays,D0270,"Bitewing, single radiographic image","2 of (D0270-D0274, D0708) every calendar year",-,-
Dental X-Rays,D0272,"Bitewings, two radiographic images","2 of (D0270-D0274, D0708) every calendar year",-,-
Dental X-Rays,D0273,"Bitewings, three radiographic images","2 of (D0270-D0274, D0708) every calendar year",-,-
Dental X-Rays,D0274,"Bitewings, four radiographic images","2 of (D0270-D0274, D0708) every calendar year",-,-
Dental X-Rays,D0277,"Vertical bitewings, 7 to 8 radiographic images",1 (D0277) every 3 calendar years,-,-
Dental X-Rays,D0330,Panoramic radiographic image,"1 of (D0210, D0330, D0709) every 3 calendar years",-,-
Other Diagnostic Services,D0364,"Cone beam CT capture & interpretation, limited view, less than one whole jaw",-,-,-
Other Diagnostic Services,D0365,"Cone beam CT capture & interpretation, view of one full arch, mandible",-,-,-
Other Diagnostic Services,D0366,"Cone beam CT capture & interpretation, view of one full arch, maxilla, cranium",-,-,-
Other Diagnostic Services,D0367,"Cone beam CT capture & interpretation, view of both jaws; cranium",-,-,-
Other Diagnostic Services,D0368,Cone beam CT capture and interpretation for TMJ series including two or more exposures,-,-,-
Other Diagnostic Services,D0380,"Cone beam CT image capture with limited field of view, less than one whole jaw",-,-,-
Other Diagnostic Services,D0381,"Cone beam CT image capture with field of view of one full dental arch, mandible",-,-,-
Other Diagnostic Services,D0382,"Cone beam CT image capture with field of view of one full dental arch, maxilla",-,-,-
Other Diagnostic Services,D0383,Cone beam CT image capture with field of view of both jaws,-,-,-
Other Diagnostic Services,D0384,Cone beam CT image capture for TMJ series including two or more exposures,-,-,-
Other Diagnostic Services,D0460,Pulp vitality tests,-,-,-
Other Diagnostic Services,D0707,"Intraoral, periapical radiographic image, image capture only",-,-,-
Other Diagnostic Services,D0708,"Intraoral, bitewing radiographic image, image capture only","2 of (D0270-D0274, D0708) every calendar year",-,-
Other Diagnostic Services,D0709,"Intraoral, comprehensive series of radiographic images, image capture only","1 of (D0210, D0330, D0709) every 3 calendar years",-,-
Prophylaxis (Cleaning),D1110,"Prophylaxis, adult","2 of (D1110, D4346, D4910) every calendar year",-,-
Fluoride Treatment,D1206,Topical application of fluoride varnish,"2 of (D1206, D1208) every calendar year",-,-
Fluoride Treatment,D1208,"Topical application of fluoride, excluding varnish","2 of (D1206, D1208) every calendar year",-,-
Other Preventive Dental Services,D1354,"Application of caries arresting medicament, per tooth",-,-,-
Other Preventive Dental Services,D1355,"Caries preventive medicament application, per tooth",-,-,-
Restorative Services,D2140,"Amalgam, one surface, primary or permanent","1 of (D2140-D2394) per surface, per tooth every 2 calendar years",-,-
Restorative Services,D2150,"Amalgam, two surfaces, primary or permanent","1 of (D2140-D2394) per surface, per tooth every 2 calendar years",-,-
Restorative Services,D2160,"Amalgam, three surfaces, primary or permanent","1 of (D2140-D2394) per surface, per tooth every 2 calendar years",-,-
Restorative Services,D2161,"Amalgam, four or more surfaces, primary or permanent","1 of (D2140-D2394) per surface, per tooth every 2 calendar years",-,-
